schemaname,tablename,indexname,indexdef
public,discuss_channel,discuss_channel__parent_channel_id_index,CREATE INDEX discuss_channel__parent_channel_id_index ON public.discuss_channel USING btree (parent_channel_id)
public,discuss_channel,discuss_channel_from_message_id_unique,CREATE UNIQUE INDEX discuss_channel_from_message_id_unique ON public.discuss_channel USING btree (from_message_id)
public,discuss_channel,discuss_channel_pkey,CREATE UNIQUE INDEX discuss_channel_pkey ON public.discuss_channel USING btree (id)
public,discuss_channel,discuss_channel_uuid_unique,CREATE UNIQUE INDEX discuss_channel_uuid_unique ON public.discuss_channel USING btree (uuid)
public,discuss_channel_member,discuss_channel_member__fetched_message_id_index,CREATE INDEX discuss_channel_member__fetched_message_id_index ON public.discuss_channel_member USING btree (fetched_message_id) WHERE (fetched_message_id IS NOT NULL)
public,discuss_channel_member,discuss_channel_member__guest_id_index,CREATE INDEX discuss_channel_member__guest_id_index ON public.discuss_channel_member USING btree (guest_id)
public,discuss_channel_member,discuss_channel_member__last_interest_dt_index,CREATE INDEX discuss_channel_member__last_interest_dt_index ON public.discuss_channel_member USING btree (last_interest_dt)
public,discuss_channel_member,discuss_channel_member__partner_id_index,CREATE INDEX discuss_channel_member__partner_id_index ON public.discuss_channel_member USING btree (partner_id)
public,discuss_channel_member,discuss_channel_member__seen_message_id_index,CREATE INDEX discuss_channel_member__seen_message_id_index ON public.discuss_channel_member USING btree (seen_message_id) WHERE (seen_message_id IS NOT NULL)
public,discuss_channel_member,discuss_channel_member__unpin_dt_index,CREATE INDEX discuss_channel_member__unpin_dt_index ON public.discuss_channel_member USING btree (unpin_dt)
public,discuss_channel_member,discuss_channel_member_guest_unique,"CREATE UNIQUE INDEX discuss_channel_member_guest_unique ON public.discuss_channel_member USING btree (channel_id, guest_id) WHERE (guest_id IS NOT NULL)"
public,discuss_channel_member,discuss_channel_member_partner_unique,"CREATE UNIQUE INDEX discuss_channel_member_partner_unique ON public.discuss_channel_member USING btree (channel_id, partner_id) WHERE (partner_id IS NOT NULL)"
public,discuss_channel_member,discuss_channel_member_pkey,CREATE UNIQUE INDEX discuss_channel_member_pkey ON public.discuss_channel_member USING btree (id)
public,discuss_channel_member,discuss_channel_member_seen_message_id_idx,"CREATE INDEX discuss_channel_member_seen_message_id_idx ON public.discuss_channel_member USING btree (channel_id, partner_id, seen_message_id)"
public,discuss_channel_res_groups_rel,discuss_channel_res_groups_re_res_groups_id_discuss_channel_idx,"CREATE INDEX discuss_channel_res_groups_re_res_groups_id_discuss_channel_idx ON public.discuss_channel_res_groups_rel USING btree (res_groups_id, discuss_channel_id)"
public,discuss_channel_res_groups_rel,discuss_channel_res_groups_rel_pkey,"CREATE UNIQUE INDEX discuss_channel_res_groups_rel_pkey ON public.discuss_channel_res_groups_rel USING btree (discuss_channel_id, res_groups_id)"
public,discuss_channel_rtc_session,discuss_channel_rtc_session__channel_id_index,CREATE INDEX discuss_channel_rtc_session__channel_id_index ON public.discuss_channel_rtc_session USING btree (channel_id) WHERE (channel_id IS NOT NULL)
public,discuss_channel_rtc_session,discuss_channel_rtc_session__partner_id_index,CREATE INDEX discuss_channel_rtc_session__partner_id_index ON public.discuss_channel_rtc_session USING btree (partner_id)
public,discuss_channel_rtc_session,discuss_channel_rtc_session__write_date_index,CREATE INDEX discuss_channel_rtc_session__write_date_index ON public.discuss_channel_rtc_session USING btree (write_date)
public,discuss_channel_rtc_session,discuss_channel_rtc_session_channel_member_unique,CREATE UNIQUE INDEX discuss_channel_rtc_session_channel_member_unique ON public.discuss_channel_rtc_session USING btree (channel_member_id)
public,discuss_channel_rtc_session,discuss_channel_rtc_session_pkey,CREATE UNIQUE INDEX discuss_channel_rtc_session_pkey ON public.discuss_channel_rtc_session USING btree (id)
public,discuss_gif_favorite,discuss_gif_favorite_pkey,CREATE UNIQUE INDEX discuss_gif_favorite_pkey ON public.discuss_gif_favorite USING btree (id)
public,discuss_gif_favorite,discuss_gif_favorite_user_gif_favorite,"CREATE UNIQUE INDEX discuss_gif_favorite_user_gif_favorite ON public.discuss_gif_favorite USING btree (create_uid, tenor_gif_id)"
public,discuss_voice_metadata,discuss_voice_metadata__attachment_id_index,CREATE INDEX discuss_voice_metadata__attachment_id_index ON public.discuss_voice_metadata USING btree (attachment_id)
public,discuss_voice_metadata,discuss_voice_metadata_pkey,CREATE UNIQUE INDEX discuss_voice_metadata_pkey ON public.discuss_voice_metadata USING btree (id)
public,email_template_attachment_rel,email_template_attachment_rel_attachment_id_email_template__idx,"CREATE INDEX email_template_attachment_rel_attachment_id_email_template__idx ON public.email_template_attachment_rel USING btree (attachment_id, email_template_id)"
public,email_template_attachment_rel,email_template_attachment_rel_pkey,"CREATE UNIQUE INDEX email_template_attachment_rel_pkey ON public.email_template_attachment_rel USING btree (email_template_id, attachment_id)"
public,fetchmail_server,fetchmail_server__server_type_index,CREATE INDEX fetchmail_server__server_type_index ON public.fetchmail_server USING btree (server_type)
public,fetchmail_server,fetchmail_server__state_index,CREATE INDEX fetchmail_server__state_index ON public.fetchmail_server USING btree (state)
public,fetchmail_server,fetchmail_server_pkey,CREATE UNIQUE INDEX fetchmail_server_pkey ON public.fetchmail_server USING btree (id)
public,html_editor_converter_test,html_editor_converter_test_pkey,CREATE UNIQUE INDEX html_editor_converter_test_pkey ON public.html_editor_converter_test USING btree (id)
public,html_editor_converter_test_sub,html_editor_converter_test_sub_pkey,CREATE UNIQUE INDEX html_editor_converter_test_sub_pkey ON public.html_editor_converter_test_sub USING btree (id)
public,iap_account,iap_account_pkey,CREATE UNIQUE INDEX iap_account_pkey ON public.iap_account USING btree (id)
public,iap_account_res_company_rel,iap_account_res_company_rel_pkey,"CREATE UNIQUE INDEX iap_account_res_company_rel_pkey ON public.iap_account_res_company_rel USING btree (iap_account_id, res_company_id)"
public,iap_account_res_company_rel,iap_account_res_company_rel_res_company_id_iap_account_id_idx,"CREATE INDEX iap_account_res_company_rel_res_company_id_iap_account_id_idx ON public.iap_account_res_company_rel USING btree (res_company_id, iap_account_id)"
public,iap_account_res_users_rel,iap_account_res_users_rel_pkey,"CREATE UNIQUE INDEX iap_account_res_users_rel_pkey ON public.iap_account_res_users_rel USING btree (iap_account_id, res_users_id)"
public,iap_account_res_users_rel,iap_account_res_users_rel_res_users_id_iap_account_id_idx,"CREATE INDEX iap_account_res_users_rel_res_users_id_iap_account_id_idx ON public.iap_account_res_users_rel USING btree (res_users_id, iap_account_id)"
public,iap_service,iap_service_pkey,CREATE UNIQUE INDEX iap_service_pkey ON public.iap_service USING btree (id)
public,iap_service,iap_service_unique_technical_name,CREATE UNIQUE INDEX iap_service_unique_technical_name ON public.iap_service USING btree (technical_name)
public,ir_act_client,ir_act_client_path_unique,CREATE UNIQUE INDEX ir_act_client_path_unique ON public.ir_act_client USING btree (path)
public,ir_act_client,ir_act_client_pkey,CREATE UNIQUE INDEX ir_act_client_pkey ON public.ir_act_client USING btree (id)
public,ir_act_report_xml,ir_act_report_xml__paperformat_id_index,CREATE INDEX ir_act_report_xml__paperformat_id_index ON public.ir_act_report_xml USING btree (paperformat_id) WHERE (paperformat_id IS NOT NULL)
public,ir_act_report_xml,ir_act_report_xml_path_unique,CREATE UNIQUE INDEX ir_act_report_xml_path_unique ON public.ir_act_report_xml USING btree (path)
public,ir_act_report_xml,ir_act_report_xml_pkey,CREATE UNIQUE INDEX ir_act_report_xml_pkey ON public.ir_act_report_xml USING btree (id)
public,ir_act_server,ir_act_server__model_id_index,CREATE INDEX ir_act_server__model_id_index ON public.ir_act_server USING btree (model_id)
public,ir_act_server,ir_act_server__parent_id_index,CREATE INDEX ir_act_server__parent_id_index ON public.ir_act_server USING btree (parent_id)
public,ir_act_server,ir_act_server_path_unique,CREATE UNIQUE INDEX ir_act_server_path_unique ON public.ir_act_server USING btree (path)
public,ir_act_server,ir_act_server_pkey,CREATE UNIQUE INDEX ir_act_server_pkey ON public.ir_act_server USING btree (id)
public,ir_act_server_group_rel,ir_act_server_group_rel_gid_act_id_idx,"CREATE INDEX ir_act_server_group_rel_gid_act_id_idx ON public.ir_act_server_group_rel USING btree (gid, act_id)"
public,ir_act_server_group_rel,ir_act_server_group_rel_pkey,"CREATE UNIQUE INDEX ir_act_server_group_rel_pkey ON public.ir_act_server_group_rel USING btree (act_id, gid)"
public,ir_act_server_res_partner_rel,ir_act_server_res_partner_rel_pkey,"CREATE UNIQUE INDEX ir_act_server_res_partner_rel_pkey ON public.ir_act_server_res_partner_rel USING btree (ir_act_server_id, res_partner_id)"
public,ir_act_server_res_partner_rel,ir_act_server_res_partner_rel_res_partner_id_ir_act_server__idx,"CREATE INDEX ir_act_server_res_partner_rel_res_partner_id_ir_act_server__idx ON public.ir_act_server_res_partner_rel USING btree (res_partner_id, ir_act_server_id)"
public,ir_act_server_webhook_field_rel,ir_act_server_webhook_field_rel_field_id_server_id_idx,"CREATE INDEX ir_act_server_webhook_field_rel_field_id_server_id_idx ON public.ir_act_server_webhook_field_rel USING btree (field_id, server_id)"
public,ir_act_server_webhook_field_rel,ir_act_server_webhook_field_rel_pkey,"CREATE UNIQUE INDEX ir_act_server_webhook_field_rel_pkey ON public.ir_act_server_webhook_field_rel USING btree (server_id, field_id)"
public,ir_act_url,ir_act_url_path_unique,CREATE UNIQUE INDEX ir_act_url_path_unique ON public.ir_act_url USING btree (path)
public,ir_act_url,ir_act_url_pkey,CREATE UNIQUE INDEX ir_act_url_pkey ON public.ir_act_url USING btree (id)
public,ir_act_window,ir_act_window_path_unique,CREATE UNIQUE INDEX ir_act_window_path_unique ON public.ir_act_window USING btree (path)
public,ir_act_window,ir_act_window_pkey,CREATE UNIQUE INDEX ir_act_window_pkey ON public.ir_act_window USING btree (id)
public,ir_act_window_group_rel,ir_act_window_group_rel_gid_act_id_idx,"CREATE INDEX ir_act_window_group_rel_gid_act_id_idx ON public.ir_act_window_group_rel USING btree (gid, act_id)"
public,ir_act_window_group_rel,ir_act_window_group_rel_pkey,"CREATE UNIQUE INDEX ir_act_window_group_rel_pkey ON public.ir_act_window_group_rel USING btree (act_id, gid)"
public,ir_act_window_view,ir_act_window_view__act_window_id_index,CREATE INDEX ir_act_window_view__act_window_id_index ON public.ir_act_window_view USING btree (act_window_id) WHERE (act_window_id IS NOT NULL)
public,ir_act_window_view,ir_act_window_view_pkey,CREATE UNIQUE INDEX ir_act_window_view_pkey ON public.ir_act_window_view USING btree (id)
public,ir_act_window_view,ir_act_window_view_unique_mode_per_action,"CREATE UNIQUE INDEX ir_act_window_view_unique_mode_per_action ON public.ir_act_window_view USING btree (act_window_id, view_mode)"
public,ir_actions,ir_actions_path_unique,CREATE UNIQUE INDEX ir_actions_path_unique ON public.ir_actions USING btree (path)
public,ir_actions,ir_actions_pkey,CREATE UNIQUE INDEX ir_actions_pkey ON public.ir_actions USING btree (id)
public,ir_actions_server_history,ir_actions_server_history_pkey,CREATE UNIQUE INDEX ir_actions_server_history_pkey ON public.ir_actions_server_history USING btree (id)
public,ir_actions_todo,ir_actions_todo__action_id_index,CREATE INDEX ir_actions_todo__action_id_index ON public.ir_actions_todo USING btree (action_id)
public,ir_actions_todo,ir_actions_todo_pkey,CREATE UNIQUE INDEX ir_actions_todo_pkey ON public.ir_actions_todo USING btree (id)
public,ir_asset,ir_asset_pkey,CREATE UNIQUE INDEX ir_asset_pkey ON public.ir_asset USING btree (id)
public,ir_attachment,ir_attachment__original_id_index,CREATE INDEX ir_attachment__original_id_index ON public.ir_attachment USING btree (original_id) WHERE (original_id IS NOT NULL)
public,ir_attachment,ir_attachment__store_fname_index,CREATE INDEX ir_attachment__store_fname_index ON public.ir_attachment USING btree (store_fname)
public,ir_attachment,ir_attachment__url_index,CREATE INDEX ir_attachment__url_index ON public.ir_attachment USING btree (url) WHERE (url IS NOT NULL)
public,ir_attachment,ir_attachment_pkey,CREATE UNIQUE INDEX ir_attachment_pkey ON public.ir_attachment USING btree (id)
public,ir_attachment,ir_attachment_res_idx,"CREATE INDEX ir_attachment_res_idx ON public.ir_attachment USING btree (res_model, res_id)"
public,ir_config_parameter,ir_config_parameter_key_uniq,CREATE UNIQUE INDEX ir_config_parameter_key_uniq ON public.ir_config_parameter USING btree (key)
public,ir_config_parameter,ir_config_parameter_pkey,CREATE UNIQUE INDEX ir_config_parameter_pkey ON public.ir_config_parameter USING btree (id)
public,ir_cron,ir_cron__ir_actions_server_id_index,CREATE INDEX ir_cron__ir_actions_server_id_index ON public.ir_cron USING btree (ir_actions_server_id)
public,ir_cron,ir_cron_pkey,CREATE UNIQUE INDEX ir_cron_pkey ON public.ir_cron USING btree (id)
public,ir_cron_progress,ir_cron_progress__cron_id_index,CREATE INDEX ir_cron_progress__cron_id_index ON public.ir_cron_progress USING btree (cron_id)
public,ir_cron_progress,ir_cron_progress_pkey,CREATE UNIQUE INDEX ir_cron_progress_pkey ON public.ir_cron_progress USING btree (id)
public,ir_cron_trigger,ir_cron_trigger__call_at_index,CREATE INDEX ir_cron_trigger__call_at_index ON public.ir_cron_trigger USING btree (call_at)
public,ir_cron_trigger,ir_cron_trigger__cron_id_index,CREATE INDEX ir_cron_trigger__cron_id_index ON public.ir_cron_trigger USING btree (cron_id)
public,ir_cron_trigger,ir_cron_trigger_pkey,CREATE UNIQUE INDEX ir_cron_trigger_pkey ON public.ir_cron_trigger USING btree (id)
public,ir_default,ir_default__company_id_index,CREATE INDEX ir_default__company_id_index ON public.ir_default USING btree (company_id)
public,ir_default,ir_default__field_id_index,CREATE INDEX ir_default__field_id_index ON public.ir_default USING btree (field_id)
public,ir_default,ir_default__user_id_index,CREATE INDEX ir_default__user_id_index ON public.ir_default USING btree (user_id)
public,ir_default,ir_default_pkey,CREATE UNIQUE INDEX ir_default_pkey ON public.ir_default USING btree (id)
public,ir_demo,ir_demo_pkey,CREATE UNIQUE INDEX ir_demo_pkey ON public.ir_demo USING btree (id)
public,ir_demo_failure,ir_demo_failure_pkey,CREATE UNIQUE INDEX ir_demo_failure_pkey ON public.ir_demo_failure USING btree (id)
public,ir_demo_failure_wizard,ir_demo_failure_wizard_pkey,CREATE UNIQUE INDEX ir_demo_failure_wizard_pkey ON public.ir_demo_failure_wizard USING btree (id)
public,ir_embedded_actions,ir_embedded_actions_pkey,CREATE UNIQUE INDEX ir_embedded_actions_pkey ON public.ir_embedded_actions USING btree (id)
public,ir_embedded_actions_res_groups_rel,ir_embedded_actions_res_group_res_groups_id_ir_embedded_act_idx,"CREATE INDEX ir_embedded_actions_res_group_res_groups_id_ir_embedded_act_idx ON public.ir_embedded_actions_res_groups_rel USING btree (res_groups_id, ir_embedded_actions_id)"
public,ir_embedded_actions_res_groups_rel,ir_embedded_actions_res_groups_rel_pkey,"CREATE UNIQUE INDEX ir_embedded_actions_res_groups_rel_pkey ON public.ir_embedded_actions_res_groups_rel USING btree (ir_embedded_actions_id, res_groups_id)"
public,ir_exports,ir_exports__resource_index,CREATE INDEX ir_exports__resource_index ON public.ir_exports USING btree (resource)
public,ir_exports,ir_exports_pkey,CREATE UNIQUE INDEX ir_exports_pkey ON public.ir_exports USING btree (id)
public,ir_exports_line,ir_exports_line__export_id_index,CREATE INDEX ir_exports_line__export_id_index ON public.ir_exports_line USING btree (export_id)
public,ir_exports_line,ir_exports_line_pkey,CREATE UNIQUE INDEX ir_exports_line_pkey ON public.ir_exports_line USING btree (id)
public,ir_filters,ir_filters__embedded_action_id_index,CREATE INDEX ir_filters__embedded_action_id_index ON public.ir_filters USING btree (embedded_action_id) WHERE (embedded_action_id IS NOT NULL)
public,ir_filters,ir_filters_get_filters_index,"CREATE INDEX ir_filters_get_filters_index ON public.ir_filters USING btree (model_id, action_id, embedded_action_id, embedded_parent_res_id)"
public,ir_filters,ir_filters_pkey,CREATE UNIQUE INDEX ir_filters_pkey ON public.ir_filters USING btree (id)
public,ir_filters_res_users_rel,ir_filters_res_users_rel_pkey,"CREATE UNIQUE INDEX ir_filters_res_users_rel_pkey ON public.ir_filters_res_users_rel USING btree (ir_filters_id, res_users_id)"
public,ir_filters_res_users_rel,ir_filters_res_users_rel_res_users_id_ir_filters_id_idx,"CREATE INDEX ir_filters_res_users_rel_res_users_id_ir_filters_id_idx ON public.ir_filters_res_users_rel USING btree (res_users_id, ir_filters_id)"
public,ir_logging,ir_logging__dbname_index,CREATE INDEX ir_logging__dbname_index ON public.ir_logging USING btree (dbname)
public,ir_logging,ir_logging__level_index,CREATE INDEX ir_logging__level_index ON public.ir_logging USING btree (level)
public,ir_logging,ir_logging__type_index,CREATE INDEX ir_logging__type_index ON public.ir_logging USING btree (type)
public,ir_logging,ir_logging_pkey,CREATE UNIQUE INDEX ir_logging_pkey ON public.ir_logging USING btree (id)
public,ir_mail_server,ir_mail_server__name_index,CREATE INDEX ir_mail_server__name_index ON public.ir_mail_server USING btree (name)
public,ir_mail_server,ir_mail_server_pkey,CREATE UNIQUE INDEX ir_mail_server_pkey ON public.ir_mail_server USING btree (id)
public,ir_mail_server,ir_mail_server_unique_owner_user_id,CREATE UNIQUE INDEX ir_mail_server_unique_owner_user_id ON public.ir_mail_server USING btree (owner_user_id)
public,ir_model,ir_model_obj_name_uniq,CREATE UNIQUE INDEX ir_model_obj_name_uniq ON public.ir_model USING btree (model)
public,ir_model,ir_model_pkey,CREATE UNIQUE INDEX ir_model_pkey ON public.ir_model USING btree (id)
public,ir_model_access,ir_model_access__group_id_index,CREATE INDEX ir_model_access__group_id_index ON public.ir_model_access USING btree (group_id)
public,ir_model_access,ir_model_access__model_id_index,CREATE INDEX ir_model_access__model_id_index ON public.ir_model_access USING btree (model_id)
public,ir_model_access,ir_model_access__name_index,CREATE INDEX ir_model_access__name_index ON public.ir_model_access USING btree (name)
public,ir_model_access,ir_model_access_pkey,CREATE UNIQUE INDEX ir_model_access_pkey ON public.ir_model_access USING btree (id)
public,ir_model_constraint,ir_model_constraint__model_index,CREATE INDEX ir_model_constraint__model_index ON public.ir_model_constraint USING btree (model)
public,ir_model_constraint,ir_model_constraint__module_index,CREATE INDEX ir_model_constraint__module_index ON public.ir_model_constraint USING btree (module)
public,ir_model_constraint,ir_model_constraint__name_index,CREATE INDEX ir_model_constraint__name_index ON public.ir_model_constraint USING btree (name)
public,ir_model_constraint,ir_model_constraint_module_name_uniq,"CREATE UNIQUE INDEX ir_model_constraint_module_name_uniq ON public.ir_model_constraint USING btree (name, module)"
public,ir_model_constraint,ir_model_constraint_pkey,CREATE UNIQUE INDEX ir_model_constraint_pkey ON public.ir_model_constraint USING btree (id)
public,ir_model_data,ir_model_data_model_res_id_index,"CREATE INDEX ir_model_data_model_res_id_index ON public.ir_model_data USING btree (model, res_id)"
public,ir_model_data,ir_model_data_module_name_uniq_index,"CREATE UNIQUE INDEX ir_model_data_module_name_uniq_index ON public.ir_model_data USING btree (module, name)"
public,ir_model_data,ir_model_data_pkey,CREATE UNIQUE INDEX ir_model_data_pkey ON public.ir_model_data USING btree (id)
public,ir_model_fields,ir_model_fields__model_id_index,CREATE INDEX ir_model_fields__model_id_index ON public.ir_model_fields USING btree (model_id)
public,ir_model_fields,ir_model_fields__model_index,CREATE INDEX ir_model_fields__model_index ON public.ir_model_fields USING btree (model)
public,ir_model_fields,ir_model_fields__name_index,CREATE INDEX ir_model_fields__name_index ON public.ir_model_fields USING btree (name)
public,ir_model_fields,ir_model_fields__state_index,CREATE INDEX ir_model_fields__state_index ON public.ir_model_fields USING btree (state)
public,ir_model_fields,ir_model_fields_name_unique,"CREATE UNIQUE INDEX ir_model_fields_name_unique ON public.ir_model_fields USING btree (model, name)"
public,ir_model_fields,ir_model_fields_pkey,CREATE UNIQUE INDEX ir_model_fields_pkey ON public.ir_model_fields USING btree (id)
public,ir_model_fields_group_rel,ir_model_fields_group_rel_group_id_field_id_idx,"CREATE INDEX ir_model_fields_group_rel_group_id_field_id_idx ON public.ir_model_fields_group_rel USING btree (group_id, field_id)"
public,ir_model_fields_group_rel,ir_model_fields_group_rel_pkey,"CREATE UNIQUE INDEX ir_model_fields_group_rel_pkey ON public.ir_model_fields_group_rel USING btree (field_id, group_id)"
public,ir_model_fields_selection,ir_model_fields_selection__field_id_index,CREATE INDEX ir_model_fields_selection__field_id_index ON public.ir_model_fields_selection USING btree (field_id)
public,ir_model_fields_selection,ir_model_fields_selection_pkey,CREATE UNIQUE INDEX ir_model_fields_selection_pkey ON public.ir_model_fields_selection USING btree (id)
public,ir_model_fields_selection,ir_model_fields_selection_selection_field_uniq,"CREATE UNIQUE INDEX ir_model_fields_selection_selection_field_uniq ON public.ir_model_fields_selection USING btree (field_id, value)"
public,ir_model_inherit,ir_model_inherit_pkey,CREATE UNIQUE INDEX ir_model_inherit_pkey ON public.ir_model_inherit USING btree (id)
public,ir_model_inherit,ir_model_inherit_uniq,"CREATE UNIQUE INDEX ir_model_inherit_uniq ON public.ir_model_inherit USING btree (model_id, parent_id)"
public,ir_model_relation,ir_model_relation__model_index,CREATE INDEX ir_model_relation__model_index ON public.ir_model_relation USING btree (model)
public,ir_model_relation,ir_model_relation__module_index,CREATE INDEX ir_model_relation__module_index ON public.ir_model_relation USING btree (module)
public,ir_model_relation,ir_model_relation__name_index,CREATE INDEX ir_model_relation__name_index ON public.ir_model_relation USING btree (name)
public,ir_model_relation,ir_model_relation_pkey,CREATE UNIQUE INDEX ir_model_relation_pkey ON public.ir_model_relation USING btree (id)
public,ir_module_category,ir_module_category__parent_id_index,CREATE INDEX ir_module_category__parent_id_index ON public.ir_module_category USING btree (parent_id)
public,ir_module_category,ir_module_category_pkey,CREATE UNIQUE INDEX ir_module_category_pkey ON public.ir_module_category USING btree (id)
public,ir_module_module,ir_module_module__category_id_index,CREATE INDEX ir_module_module__category_id_index ON public.ir_module_module USING btree (category_id)
public,ir_module_module,ir_module_module__state_index,CREATE INDEX ir_module_module__state_index ON public.ir_module_module USING btree (state)
public,ir_module_module,ir_module_module_name_uniq,CREATE UNIQUE INDEX ir_module_module_name_uniq ON public.ir_module_module USING btree (name)
public,ir_module_module,ir_module_module_pkey,CREATE UNIQUE INDEX ir_module_module_pkey ON public.ir_module_module USING btree (id)
public,ir_module_module_dependency,ir_module_module_dependency__name_index,CREATE INDEX ir_module_module_dependency__name_index ON public.ir_module_module_dependency USING btree (name)
public,ir_module_module_dependency,ir_module_module_dependency_pkey,CREATE UNIQUE INDEX ir_module_module_dependency_pkey ON public.ir_module_module_dependency USING btree (id)
public,ir_module_module_exclusion,ir_module_module_exclusion__name_index,CREATE INDEX ir_module_module_exclusion__name_index ON public.ir_module_module_exclusion USING btree (name)
public,ir_module_module_exclusion,ir_module_module_exclusion_pkey,CREATE UNIQUE INDEX ir_module_module_exclusion_pkey ON public.ir_module_module_exclusion USING btree (id)
public,ir_profile,ir_profile__session_index,CREATE INDEX ir_profile__session_index ON public.ir_profile USING btree (session)
public,ir_profile,ir_profile_pkey,CREATE UNIQUE INDEX ir_profile_pkey ON public.ir_profile USING btree (id)
public,ir_rule,ir_rule__model_id_index,CREATE INDEX ir_rule__model_id_index ON public.ir_rule USING btree (model_id)
public,ir_rule,ir_rule_pkey,CREATE UNIQUE INDEX ir_rule_pkey ON public.ir_rule USING btree (id)
public,ir_sequence,ir_sequence_pkey,CREATE UNIQUE INDEX ir_sequence_pkey ON public.ir_sequence USING btree (id)
public,ir_sequence_date_range,ir_sequence_date_range_pkey,CREATE UNIQUE INDEX ir_sequence_date_range_pkey ON public.ir_sequence_date_range USING btree (id)
public,ir_sequence_date_range,ir_sequence_date_range_unique_range_per_sequence,"CREATE UNIQUE INDEX ir_sequence_date_range_unique_range_per_sequence ON public.ir_sequence_date_range USING btree (sequence_id, date_from, date_to)"
public,ir_ui_menu,ir_ui_menu__parent_id_index,CREATE INDEX ir_ui_menu__parent_id_index ON public.ir_ui_menu USING btree (parent_id)
public,ir_ui_menu,ir_ui_menu__parent_path_index,CREATE INDEX ir_ui_menu__parent_path_index ON public.ir_ui_menu USING btree (parent_path)
public,ir_ui_menu,ir_ui_menu_pkey,CREATE UNIQUE INDEX ir_ui_menu_pkey ON public.ir_ui_menu USING btree (id)
public,ir_ui_menu_group_rel,ir_ui_menu_group_rel_gid_menu_id_idx,"CREATE INDEX ir_ui_menu_group_rel_gid_menu_id_idx ON public.ir_ui_menu_group_rel USING btree (gid, menu_id)"
public,ir_ui_menu_group_rel,ir_ui_menu_group_rel_pkey,"CREATE UNIQUE INDEX ir_ui_menu_group_rel_pkey ON public.ir_ui_menu_group_rel USING btree (menu_id, gid)"
public,ir_ui_view,ir_ui_view__inherit_id_index,CREATE INDEX ir_ui_view__inherit_id_index ON public.ir_ui_view USING btree (inherit_id)
public,ir_ui_view,ir_ui_view__key_index,CREATE INDEX ir_ui_view__key_index ON public.ir_ui_view USING btree (key) WHERE (key IS NOT NULL)
public,ir_ui_view,ir_ui_view__model_index,CREATE INDEX ir_ui_view__model_index ON public.ir_ui_view USING btree (model)
public,ir_ui_view,ir_ui_view_model_type_inherit_id,"CREATE INDEX ir_ui_view_model_type_inherit_id ON public.ir_ui_view USING btree (model, inherit_id)"
public,ir_ui_view,ir_ui_view_pkey,CREATE UNIQUE INDEX ir_ui_view_pkey ON public.ir_ui_view USING btree (id)
public,ir_ui_view_custom,ir_ui_view_custom__ref_id_index,CREATE INDEX ir_ui_view_custom__ref_id_index ON public.ir_ui_view_custom USING btree (ref_id)
public,ir_ui_view_custom,ir_ui_view_custom__user_id_index,CREATE INDEX ir_ui_view_custom__user_id_index ON public.ir_ui_view_custom USING btree (user_id)
public,ir_ui_view_custom,ir_ui_view_custom_pkey,CREATE UNIQUE INDEX ir_ui_view_custom_pkey ON public.ir_ui_view_custom USING btree (id)
public,ir_ui_view_custom,ir_ui_view_custom_user_id_ref_id,"CREATE INDEX ir_ui_view_custom_user_id_ref_id ON public.ir_ui_view_custom USING btree (user_id, ref_id)"
public,ir_ui_view_group_rel,ir_ui_view_group_rel_group_id_view_id_idx,"CREATE INDEX ir_ui_view_group_rel_group_id_view_id_idx ON public.ir_ui_view_group_rel USING btree (group_id, view_id)"
public,ir_ui_view_group_rel,ir_ui_view_group_rel_pkey,"CREATE UNIQUE INDEX ir_ui_view_group_rel_pkey ON public.ir_ui_view_group_rel USING btree (view_id, group_id)"
public,mail_activity,mail_activity__calendar_event_id_index,CREATE INDEX mail_activity__calendar_event_id_index ON public.mail_activity USING btree (calendar_event_id) WHERE (calendar_event_id IS NOT NULL)
public,mail_activity,mail_activity__date_deadline_index,CREATE INDEX mail_activity__date_deadline_index ON public.mail_activity USING btree (date_deadline)
public,mail_activity,mail_activity__res_id_index,CREATE INDEX mail_activity__res_id_index ON public.mail_activity USING btree (res_id)
public,mail_activity,mail_activity__res_model_id_index,CREATE INDEX mail_activity__res_model_id_index ON public.mail_activity USING btree (res_model_id)
public,mail_activity,mail_activity__res_model_index,CREATE INDEX mail_activity__res_model_index ON public.mail_activity USING btree (res_model)
public,mail_activity,mail_activity__user_id_index,CREATE INDEX mail_activity__user_id_index ON public.mail_activity USING btree (user_id)
public,mail_activity,mail_activity_pkey,CREATE UNIQUE INDEX mail_activity_pkey ON public.mail_activity USING btree (id)
public,mail_activity_plan,mail_activity_plan_pkey,CREATE UNIQUE INDEX mail_activity_plan_pkey ON public.mail_activity_plan USING btree (id)
public,mail_activity_plan_mail_activity_schedule_rel,mail_activity_plan_mail_activ_mail_activity_plan_id_mail_ac_idx,"CREATE INDEX mail_activity_plan_mail_activ_mail_activity_plan_id_mail_ac_idx ON public.mail_activity_plan_mail_activity_schedule_rel USING btree (mail_activity_plan_id, mail_activity_schedule_id)"
